Ciudad,CÃ³digo DANE ciudad,Departamento,Ciudad - Departamento,Repeticiones Ciudad
ICONONZO,73352,TOLIMA,ICONONZO - TOLIMA,0
ILES,52352,NARIÑO,ILES - NARIÑO,0
IMUES,52354,NARIÑO,IMUES - NARIÑO,0
INIRIDA,94001,GUAINIA,INIRIDA - GUAINIA,0
INZA,19355,CAUCA,INZA - CAUCA,0
IPIALES,52356,NARIÑO,IPIALES - NARIÑO,0
IQUIRA,41357,HUILA,IQUIRA - HUILA,0
ISNOS,41359,HUILA,ISNOS - HUILA,0
ISTMINA,27361,CHOCO,ISTMINA - CHOCO,0
ITAGUI,05360,ANTIOQUIA,ITAGUI - ANTIOQUIA,0
ITUANGO,05361,ANTIOQUIA,ITUANGO - ANTIOQUIA,0
IZA,15362,BOYACA,IZA - BOYACA,0
JAMBALO,19364,CAUCA,JAMBALO - CAUCA,0
JAMUNDI,76364,VALLE DEL CAUCA,JAMUNDI - VALLE DEL CAUCA,0
JARDIN,05364,ANTIOQUIA,JARDIN - ANTIOQUIA,0
JENESANO,15367,BOYACA,JENESANO - BOYACA,0
JERICO,05368,ANTIOQUIA,JERICO - ANTIOQUIA,1
JERICO,15368,BOYACA,JERICO - BOYACA,2
JERUSALEN,25368,CUNDINAMARCA,JERUSALEN - CUNDINAMARCA,0
JESUS MARIA,68368,SANTANDER,JESUS MARIA - SANTANDER,0
JORDAN,68370,SANTANDER,JORDAN - SANTANDER,0
JUAN DE ACOSTA,08372,ATLANTICO,JUAN DE ACOSTA - ATLANTICO,0
JUNIN,25372,CUNDINAMARCA,JUNIN - CUNDINAMARCA,0
JURADO,27372,CHOCO,JURADO - CHOCO,0
LA APARTADA,23350,CORDOBA,LA APARTADA - CORDOBA,0
LA ARGENTINA,41378,HUILA,LA ARGENTINA - HUILA,0
LA BELLEZA,68377,SANTANDER,LA BELLEZA - SANTANDER,0
LA CALERA,25377,CUNDINAMARCA,LA CALERA - CUNDINAMARCA,0
LA CAPILLA,15380,BOYACA,LA CAPILLA - BOYACA,0
LA CEJA,05376,ANTIOQUIA,LA CEJA - ANTIOQUIA,0
LA CELIA,66383,RISARALDA,LA CELIA - RISARALDA,0
LA CHORRERA,91405,AMAZONAS,LA CHORRERA - AMAZONAS,0
LA CRUZ,52378,NARIÑO,LA CRUZ - NARIÑO,0
